"Utility ","Active ","Inactive ","Total ",
"Alisal Water Corporation (Alco) ","9,166 ","0 ","9,166 ",
"Bakman Water Company ","2,625 ","0 ","2,625 ",
"Del Oro Water Company ","6,274 ","2,221 ","8,495 ",
"East Pasadena Water Company ","3,017 ","0 ","3,017 ",
"Total Class B ","21,082 ","2,221 ","23,303 ",
